base_name_en,weapon_type,type,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty
Hydros Discus,sword-and-shield,Upgrade,Namielle Hardclaw,4,Namielle Finehide,5,Namielle Whisker,2,Purecrystal,1
Blacksteel Sword I,sword-and-shield,Create,Dragonvein Crystal,10,Earth Crystal,10,Coral Crystal,10,Lightcrystal,1
Blacksteel Sword II,sword-and-shield,Upgrade,Firecell Stone,1,Fucium Ore,5,Carbalite Ore,10,Wyvern Gem,1
Teostra's Spada,sword-and-shield,Upgrade,Teostra Claw+,2,Teostra Mane,2,Teostra Carapace,5,Teostra Powder,4
Teostra's Emblem,sword-and-shield,Upgrade,Xeno'jiiva Soulscale,5,Teostra Horn+,5,Teostra Claw+,2,Teostra Gem,1
Teostra's Medal,sword-and-shield,Upgrade,Teostra Hardhorn,5,Fire Dragon Hardclaw,4,Teostra Mane+,4,Large Elder Dragon Gem,1
Xeno Mabura,sword-and-shield,Upgrade,Xeno'jiiva Claw,4,Xeno'jiiva Shell,6,Xeno'jiiva Tail,2,Xeno'jiiva Gem,1
Fatal Jho,sword-and-shield,Create,Deviljho Scale,6,Deviljho Talon,2,Deviljho Tallfang,3,Deviljho Saliva,2
Fatal Bite,sword-and-shield,Upgrade,Elder Dragon Blood,5,Deviljho Scalp,2,Deviljho Tallfang,5,Deviljho Gem,1
Fate's Shear,sword-and-shield,Upgrade,Vile Fang,3,Deviljho Ripper,2,Black Blood,3,Deviljho Crook,1
Empress Edge,sword-and-shield,Create,Lunastra Scale+,4,Lunastra Horn,3,Lunastra Mane,3,Lunastra Gem,1
"Empress Edge ""Blaze""",sword-and-shield,Upgrade,Research Commission Ticket,1,Lunastra Horn,2,Teostra Horn+,3,Bazelgeuse Gem,1
"Soulfire Barb ""Blaze""",sword-and-shield,Upgrade,Lunastra Shard,4,Lunastra Hardhorn,4,Lunastra Mane+,4,Large Elder Dragon Gem,1
"Empress Edge ""Ruin""",sword-and-shield,Upgrade,Research Commission Ticket,1,Lunastra Wing,3,Nergigante Horn+,3,Nergigante Gem,1
"Soulfire Barb ""Ruin""",sword-and-shield,Upgrade,Lunastra Shard,4,Annihilating Greathorn,3,Eternal Regrowth Plate,3,Large Elder Dragon Gem,1
"Empress Edge ""Styx""",sword-and-shield,Upgrade,Research Commission Ticket,1,Lunastra Tail,2,Xeno'jiiva Horn,3,Xeno'jiiva Gem,1
"Soulfire Barb ""Styx""",sword-and-shield,Upgrade,Lunastra Shard,4,Lunastra Lash,2,Elder Spiritvein Bone,5,Large Elder Dragon Gem,1
Witcher's Silver Sword,sword-and-shield,Create,Leshen Skull,1,Cursed Bone,4,Leshen Antlers,2,Carbalite Ore,2
Witcher's Silver Sword+,sword-and-shield,Upgrade,Ancient Leshen Skull,1,Ancient Cursed Bone,4,Ancient Leshen Antlers,2,Leshen Resin,5
Witcher's Silver Sword++,sword-and-shield,Upgrade,Unity Symbol,1,Leshen Skull,1,Zinogre Hardhorn,2,Large Elder Dragon Bone,5
Rajang Club,sword-and-shield,Create,Rajang Hardhorn,1,Rajang Hardclaw,1,Rajang Hardfang,2,Rajang Wildpelt,2
Banned Rajang Club,sword-and-shield,Upgrade,Tempered Glimmerpelt,3,Rajang Hardhorn,3,Rajang Hardfang,7,Gold Rajang Pelt+,3
Demonlord Mace,sword-and-shield,Create,Ghoulish Gold Gorer,3,Rajang Apoplexy,2,Gold Rajang Pelt+,5,Rajang Heart,1
Brimstren Drakescale,sword-and-shield,Create,Stygian Zinogre Hardhorn,1,Stygian Zinogre Hardclaw,1,Stygian Zinogre Dragonlocks,2,Stygian Zinogre Dragonhold,2
Stygian Luxuria,sword-and-shield,Upgrade,Tempered Dragonhold,3,Stygian Zinogre Hardhorn,2,Stygian Zinogre Hardclaw,5,Stygian Zinogre Skymerald,1
Lightbreak Sword,sword-and-shield,Create,Brach Obliterator,3,Brach Warhead,1,Indestructible Ebonshell,4,Immortal Reactor,1
Guild Palace Sword,sword-and-shield,Create,Fest Ticket,2,Amber Hardfang,2,Gracium,5,Purecrystal,1
Royal Nova Sword,sword-and-shield,Upgrade,Hero King Coin,1,Namielle Hardclaw,3,Large Elder Dragon Bone,5,Pure Dragon Blood,3
Defender Chainsaws I,dual-blades,Create,Iron Ore,1,,,,,,
Defender Chainsaws II,dual-blades,Upgrade,Anjanath Scale,1,,,,,,
Defender Chainsaws III,dual-blades,Upgrade,Commendation,1,,,,,,
Defender Chainsaws IV,dual-blades,Upgrade,Pink Rathian Scale+,1,,,,,,
Defender Chainsaws V,dual-blades,Upgrade,Immortal Dragonscale,1,,,,,,
Matched Slicers I,dual-blades,Create,Iron Ore,1,,,,,,
Matched Slicers II,dual-blades,Upgrade,Iron Ore,2,,,,,,
Matched Slicers III,dual-blades,Upgrade,Earth Crystal,2,Machalite Ore,2,Iron Ore,5,,
Dual Slicers I,dual-blades,Upgrade,Dragonite Ore,2,Machalite Ore,5,Monster Bone M,2,,
Dual Slicers II,dual-blades,Upgrade,Monster Bone+,2,Dragonite Ore,5,Coral Crystal,2,Machalite Ore,10
Dual Slicers III,dual-blades,Upgrade,Carbalite Ore,8,Dragonite Ore,5,Dragonvein Crystal,2,,
Chrome Slicers I,dual-blades,Upgrade,Fucium Ore,8,Carbalite Ore,5,Dragonite Ore,10,Dragonvein Crystal,3
Chrome Slicers II,dual-blades,Upgrade,Elder Dragon Blood,2,Fucium Ore,13,Carbalite Ore,20,Firecell Stone,1
Chrome Cross I,dual-blades,Create,Eltalite Ore,6,Carbalite Ore,10,Firecell Stone,2,Purecrystal,1
Chrome Cross I,dual-blades,Upgrade,Eltalite Ore,2,Carbalite Ore,4,Spiritvein Crystal,2,Gracium,1
Chrome Cross II,dual-blades,Upgrade,Monster Slogbone,3,Eltalite Ore,4,Meldspar Ore,2,Bathycite Ore,2
Chrome Cross III,dual-blades,Upgrade,Pure Dragon Blood,3,Eltalite Ore,6,Meldspar Ore,3,Purecrystal,1
Usurper's Fulgur,dual-blades,Upgrade,Zinogre Hardclaw,3,Zinogre Deathly Shocker,2,Zinogre Cortex,5,Lightning Sac,3
Usurper's Fulgur+,dual-blades,Upgrade,Zinogre Hardhorn,3,Zinogre Electrofur+,4,Fulgurbug,5,Zinogre Skymerald,1
Despot's Blitz,dual-blades,Upgrade,Spiritvein Solidbone,5,Zinogre Hardhorn,2,Zinogre Deathly Shocker,5,Large Elder Dragon Gem,1
Nergal Gouge,dual-blades,Upgrade,Nergigante Talon,3,Nergigante Regrowth Plate,4,Nergigante Tail,2,Nergigante Carapace,2
Decimation Claws,dual-blades,Upgrade,Xeno'jiiva Horn,2,Nergigante Horn+,5,Nergigante Talon,5,Nergigante Gem,1
Ruinous Decimation,dual-blades,Upgrade,Annihilating Greathorn,3,Nergigante Hardclaw,4,Eternal Regrowth Plate,5,Large Elder Dragon Gem,1
Luminous Daggers I,dual-blades,Upgrade,Tzitzi-Ya-Ku Claw,2,Tzitzi-Ya-Ku Photophore,1,Tzitzi-Ya-Ku Scale,3,,
Luminous Daggers II,dual-blades,Upgrade,Legiana Tail Webbing,2,Tzitzi-Ya-Ku Claw,3,Tzitzi-Ya-Ku Photophore,2,Sharp Claw,3
Dual Destroyers I,dual-blades,Create,Tzitzi-Ya-Ku Photophore+,3,Tzitzi-Ya-Ku Scale+,6,Tzitzi-Ya-Ku Claw+,5,Novacrystal,1
Dual Destroyers I,dual-blades,Upgrade,Tzitzi-Ya-Ku Claw+,3,Tzitzi-Ya-Ku Photophore+,1,Tzitzi-Ya-Ku Scale+,5,Lightcrystal,1
Dual Destroyers II,dual-blades,Upgrade,Legiana Wing,2,Tzitzi-Ya-Ku Claw+,4,Tzitzi-Ya-Ku Photophore+,2,Piercing Claw,5
Dual Destroyers III,dual-blades,Upgrade,Daora Webbing,2,Tzitzi-Ya-Ku Claw+,5,Tzitzi-Ya-Ku Photophore+,3,Bird Wyvern Gem,1
Cross Destroyers I,dual-blades,Upgrade,Tzitzi-Ya-Ku Hardclaw,1,Tzitzi-Ya-Ku Photomembrane,1,Tzitzi-Ya-Ku Shard,2,Tough Claw,2
Cross Destroyers II,dual-blades,Upgrade,Legiana Hardclaw,2,Tzitzi-Ya-Ku Hardclaw,2,Tzitzi-Ya-Ku Photomembrane,1,Purecrystal,1
Hidden Tomahawk I,dual-blades,Upgrade,Nargacuga Hardfang,2,Nargacuga Shard,3,Nargacuga Tailspear,2,Meldspar Ore,1
Hidden Tomahawk II,dual-blades,Upgrade,Fulgur Anjanath Hardfang,2,Nargacuga Cutwing+,3,Nargacuga Lash,2,Nargacuga Mantle,1
Rookslayer Handaxes,dual-blades,Upgrade,Bazelgeuse Talon,3,Bazelgeuse Scale+,5,Bazelgeuse Fuse,4,Firecell Stone,1
Bazelhawk Rookslayer,dual-blades,Upgrade,Xeno'jiiva Wing,3,Bazelgeuse Wing,4,Bazelgeuse Talon,4,Bazelgeuse Gem,1
Blazing Warhawks,dual-blades,Upgrade,Bazelgeuse Hardclaw,3,Bazelgeuse Shard,4,Distilled Blast Fluid,3,Meldspar Ore,5
Bazel Bombers,dual-blades,Upgrade,Shara Ishvalda Petalstone,2,Scorching Silverwing,4,Bazelgeuse Hardclaw,4,Bazelgeuse Mantle,1
Freeze Daggers I,dual-blades,Upgrade,Legiana Claw,3,Legiana Scale,4,Frost Sac,2,Coral Crystal,3
Freeze Daggers II,dual-blades,Upgrade,Carbalite Ore,5,Legiana Tail Webbing,2,Legiana Webbing,3,Shamos Scale+,5
Freeze Chain I,dual-blades,Upgrade,Fucium Ore,5,Legiana Scale+,5,Legiana Wing,3,Freezer Sac,3
Freeze Chain II,dual-blades,Upgrade,Elder Dragon Blood,3,Legiana Claw+,5,Legiana Hide+,3,Wyvern Gem,1
Blizzarioths,dual-blades,Upgrade,Barioth Hardclaw,3,Barioth Cortex,4,Cryo Sac,4,Frozen Bone,3
Blizzarioths+,dual-blades,Upgrade,Obsidian Icetalon,2,Amber Hardfang,3,Barioth Greatspike,3,Large Wyvern Gem,1
Mountain Blizzarioths,dual-blades,Upgrade,Velkhana Hardclaw,2,Barioth Hardclaw,4,Amber Hardfang,2,Large Elder Dragon Bone,5
Rending Beaks I,dual-blades,Upgrade,Kulu-Ya-Ku Beak,1,Kulu-Ya-Ku Hide,2,Kulu-Ya-Ku Scale,3,,
Rending Beaks II,dual-blades,Upgrade,Radobaan Scale,3,Kulu-Ya-Ku Beak,2,Kulu-Ya-Ku Plume,2,Boulder Bone,3
Rending Beaks III,dual-blades,Upgrade,Odogaron Claw,2,Kulu-Ya-Ku Beak,2,Kulu-Ya-Ku Plume,4,Warped Bone,3
Arcanaria I,dual-blades,Upgrade,Kulu-Ya-Ku Beak+,3,Kulu-Ya-Ku Hide+,4,Kulu-Ya-Ku Scale+,6,,
Arcanaria II,dual-blades,Upgrade,Odogaron Claw+,2,Kulu-Ya-Ku Beak+,4,Kulu-Ya-Ku Plume+,3,Brutal Bone,3
Arcanaria III,dual-blades,Upgrade,Nergigante Talon,2,Kulu-Ya-Ku Beak+,5,Kulu-Ya-Ku Plume+,4,Bird Wyvern Gem,1
Asefar al-Nasr I,dual-blades,Create,Large Kulu-Ya-Ku Beak,2,Kulu-Ya-Ku Thickhide,4,Kulu-Ya-Ku Shard,5,Fey Wyvern Gem,1
Asefar al-Nasr I,dual-blades,Upgrade,Large Kulu-Ya-Ku Beak,1,Kulu-Ya-Ku Thickhide,2,Kulu-Ya-Ku Shard,3,Thick Bone,2
Asefar al-Nasr II,dual-blades,Upgrade,Nargacuga Hardfang,2,Large Kulu-Ya-Ku Beak,2,Large Kulu-Ya-Ku Plume,3,Monster Slogbone,3
Rex Chain I,dual-blades,Upgrade,Tigrex Hardclaw,3,Tigrex Shard,4,Monster Slogbone,3,Thick Bone,5
Rex Chain II,dual-blades,Upgrade,Blackcurl Stouthorn,1,Tigrex Hardfang,3,Tigrex Lash,2,Tigrex Mantle,1
Accursed Chain,dual-blades,Upgrade,Brute Tigrex Hardclaw,3,Brute Tigrex Shard,5,Brute Tigrex Hardfang,2,Large Wyvern Gem,1
Twin Flames,dual-blades,Upgrade,Rathalos Shard,4,Rathian Shard,4,Rath Wingtalon+,3,Conflagrant Sac,4
Wyvern Lovers,dual-blades,Upgrade,Azure Rathalos Shard,4,Pink Rathian Shard,4,Azure Rathalos Lash,2,Large Wyvern Gem,1
Wyvern Strife,dual-blades,Upgrade,Silver Rathalos Shard,4,Gold Rathian Shard,4,Silver Rathalos Lash,2,Rath Gleam,2
Sworn Rapiers,dual-blades,Upgrade,Dragonite Ore,3,Machalite Ore,5,Earth Crystal,6,Lightcrystal,1
Sworn Rapiers+,dual-blades,Upgrade,Carbalite Ore,5,Dragonvein Crystal,4,Coral Crystal,8,Commendation,2
Holy Sabers,dual-blades,Upgrade,High Commendation,3,Dragonvein Crystal,6,Wyvern Gem,2,Novacrystal,2
Guild Knight Sabers,dual-blades,Upgrade,Banbaro Great Horn,2,Eltalite Ore,8,Spiritvein Crystal,6,Gracium,4
Master Sabers,dual-blades,Upgrade,Obsidian Icetalon,3,Meldspar Ore,6,Bathycite Ore,4,Purecrystal,1
Holy Guild Knight,dual-blades,Upgrade,Conqueror's Seal,3,Large Elder Dragon Bone,3,Pure Dragon Blood,4,Large Wyvern Gem,1
Bone Hatchets I,dual-blades,Create,Monster Bone S,1,,,,,,
Bone Hatchets II,dual-blades,Upgrade,Monster Bone S,2,,,,,,
Bone Hatchets III,dual-blades,Upgrade,Monster Bone M,2,Ancient Bone,1,,,,
Wild Hatchets I,dual-blades,Upgrade,Monster Bone L,1,Monster Bone M,5,Boulder Bone,2,,
Wild Hatchets II,dual-blades,Upgrade,Monster Bone+,2,Monster Bone L,1,Sturdy Bone,4,,
Wild Hatchets III,dual-blades,Upgrade,Monster Keenbone,2,Monster Bone+,2,Quality Bone,2,,
Strong Hatchets I,dual-blades,Upgrade,Monster Hardbone,4,Monster Keenbone,6,Quality Bone,10,,
Strong Hatchets II,dual-blades,Upgrade,Elder Dragon Bone,4,Monster Hardbone,6,Quality Bone,20,Dragonbone Relic,1
Hulking Choppers I,dual-blades,Create,Thick Bone,6,Quality Bone,8,Monster Toughbone,4,Dragonbone Artifact,1
Hulking Choppers I,dual-blades,Upgrade,Thick Bone,2,Quality Bone,4,Monster Hardbone,4,Frozen Bone,1
Hulking Choppers II,dual-blades,Upgrade,Monster Solidbone,2,Monster Slogbone,3,Thick Bone,4,Monster Essence,2
Hulking Choppers III,dual-blades,Upgrade,Large Elder Dragon Bone,3,Monster Solidbone,4,Thick Bone,6,Dragonbone Artifact,1
Icefeather,dual-blades,Upgrade,Crystal Shard,4,Velkhana Hardclaw,2,Velkhana Lash,2,Purecrystal,1
Untouched Hel,dual-blades,Upgrade,Shara Ishvalda Tenderclaw,3,Velkhana Crownhorn,4,Velkhana Hardclaw,4,Velkhana Crystal,1
Blazing Hatchets I,dual-blades,Upgrade,Anjanath Fang,2,Anjanath Scale,3,Flame Sac,1,,
Blazing Hatchets II,dual-blades,Upgrade,Rathalos Marrow,1,Anjanath Fang,4,Anjanath Nosebone,1,Anjanath Tail,1
Anja Cyclone I,dual-blades,Upgrade,Anjanath Fang+,4,Anjanath Scale+,5,Inferno Sac,3,Anjanath Plate,1
Anja Cyclone II,dual-blades,Upgrade,Rathalos Medulla,2,Anjanath Fang+,5,Anjanath Pelt+,4,Firecell Stone,1
Anja Cyclone III,dual-blades,Upgrade,Teostra Mane,2,Anjanath Fang+,6,Anjanath Nosebone+,2,Anjanath Gem,1
Anja Twinrippers I,dual-blades,Create,Anjanath Hardfang,2,Anjanath Lash,2,Anjanath Shard,6,Anjanath Mantle,1
Anja Twinrippers I,dual-blades,Upgrade,Anjanath Hardfang,1,Anjanath Shard,2,Conflagrant Sac,1,Eltalite Ore,3
Anja Twinrippers II,dual-blades,Upgrade,Azure Rathalos Cortex,2,Anjanath Fur,3,Heavy Anjanath Nosebone,2,Anjanath Lash,1
Fulguring Tornado I,dual-blades,Upgrade,Fulgur Anjanath Hardfang,1,Fulgur Anjanath Shard,2,Monster Solidbone,3,Meldspar Ore,2
Fulguring Tornado II,dual-blades,Upgrade,Fulgur Anjanath Thickfur,3,Heavy Fulgur Anjanath Nosebone,2,Fulgur Anjanath Lash,1,Lightning Sac,3
Diablos Hatchets I,dual-blades,Upgrade,Twisted Horn,1,Diablos Fang,2,Diablos Shell,4,Monster Bone+,3
Diablos Hatchets II,dual-blades,Upgrade,Monster Keenbone,4,Diablos Ridge,4,Diablos Tailcase,2,Diablos Marrow,1
Diablos Clubs I,dual-blades,Create,Majestic Horn,4,Diablos Carapace,8,Blos Medulla,1,Wyvern Gem,1
Diablos Clubs I,dual-blades,Upgrade,Majestic Horn,3,Diablos Carapace,6,Diablos Ridge+,5,Blos Medulla,1
Diablos Clubs II,dual-blades,Upgrade,Nergigante Horn+,2,Black Spiral Horn+,3,Black Diablos Carapace,4,Wyvern Gem,1
Diablos Clubs III,dual-blades,Upgrade,Twisted Stouthorn,3,Diablos Cortex,6,Diablos Chine,5,Monster Slogbone,3
Thanatos Mauls,dual-blades,Upgrade,Blackcurl Stouthorn,3,Black Diablos Cortex,3,Monster Solidbone,3,Large Wyvern Gem,1
Sulfurteinn Ortho,dual-blades,Upgrade,Acidic Glavenus Hardfang,2,Acidic Glavenus Spineshell,2,Acidic Glavenus Tailedge,2,Honed Acidcryst,4
The Stripping Shears,dual-blades,Upgrade,Vaal Hazak Hardclaw,2,Acidic Glavenus Hardfang,4,Acidic Glavenus Spineshell,3,Glavenus Mantle,1
Mammoth Direbones I,dual-blades,Upgrade,Banbaro Great Horn,1,Banbaro Cortex,2,Banbaro Chine,2,Monster Toughbone,3
Mammoth Direbones II,dual-blades,Upgrade,Monster Solidbone,3,Banbaro Great Horn,3,Banbaro Lash,2,Dragonbone Artifact,1
Madness Pangas I,dual-blades,Upgrade,Jyuratodus Fin,1,Jyuratodus Shell,1,Jyuratodus Scale,3,Aqua Sac,1
Madness Pangas II,dual-blades,Upgrade,Great Girros Hide,2,Jyuratodus Fin,3,Jyuratodus Shell,3,Gajau Skin,3
Madness Pangas III,dual-blades,Upgrade,Monster Bone+,2,Jyuratodus Fang,4,Jyuratodus Shell,3,Gajau Whisker,3
Jyura Hatchets I,dual-blades,Create,Jyuratodus Fin+,3,Jyuratodus Carapace,4,Jyuratodus Scale+,5,Carbalite Ore,5
Jyura Hatchets I,dual-blades,Upgrade,Jyuratodus Fin+,2,Jyuratodus Carapace,2,Jyuratodus Scale+,3,Gajau Scale,5
Jyura Hatchets II,dual-blades,Upgrade,Monster Hardbone,3,Jyuratodus Fin+,4,Torrent Sac,3,Grand Gajau Whisker,3
Jyura Hatchets III,dual-blades,Upgrade,Elder Dragon Bone,2,Jyuratodus Fin+,6,Jyuratodus Fang+,5,Wyvern Gem,1
Jyura Keenblades I,dual-blades,Upgrade,Jyuratodus Grandfin,1,Jyuratodus Hardfang,1,Jyuratodus Shard,3,Gajau Thickhide,2
Jyura Keenblades II,dual-blades,Upgrade,Monster Slogbone,2,Jyuratodus Grandfin,2,Flood Sac,2,Steel Gajau Whisker,1
Raven Tessen,dual-blades,Upgrade,Garuga Shard,3,Garuga Silverpelt,4,Garuga Auricle,2,Fey Wyvern Gem,1
Wolf Tessen,dual-blades,Upgrade,Scratched Shell,3,Garuga Fellwing,2,Fancy Beak,3,Large Wyvern Gem,1
Beo Hatchets I,dual-blades,Create,Beotodus Grandfin,2,Beotodus Hardhorn,2,Beotodus Shard,6,Frozen Bone,3
Beo Hatchets I,dual-blades,Upgrade,Beotodus Grandfin,1,Beotodus Hardhorn,1,Beotodus Shard,3,Frozen Bone,1
Beo Hatchets II,dual-blades,Upgrade,Rimed Hide,2,Beotodus Grandfin,2,Cryo Sac,2,Large Wyvern Gem,1
Lava Cyclone I,dual-blades,Upgrade,Lavasioth Fin+,2,Lavasioth Fang+,2,Lavasioth Scale+,4,,
Lava Cyclone II,dual-blades,Upgrade,Teostra Mane,2,Lavasioth Fin+,3,Lavasioth Fang+,3,Wyvern Gem,1
Shattering Flames I,dual-blades,Upgrade,Lavasioth Grandfin,1,Lavasioth Hardfang,2,Lavasioth Shard,3,Barnos Hardclaw,2
Shattering Flames II,dual-blades,Upgrade,Azure Rathalos Cortex,2,Lavasioth Grandfin,2,Lavasioth Hardfang,2,Monster Solidbone,3
Smoldering Cities,dual-blades,Upgrade,Glavenus Hardfang,2,Glavenus Shard,4,Molten Bursa,2,Eltalite Ore,6
Smoldering Cities+,dual-blades,Upgrade,Ebony Odogaron Hardfang,2,Glavenus Hellshell,3,Glavenus Tailedge,2,Glavenus Mantle,1
Smoldering Kingdoms,dual-blades,Upgrade,Fire Dragon Hardclaw,2,Glavenus Hardfang,5,Glavenus Hellshell,4,Pure Dragon Blood,3
Taurus Pangas I,dual-blades,Upgrade,Hornetaur Shell,3,Hornetaur Wing,2,Monster Fluid,2,,
Taurus Pangas II,dual-blades,Upgrade,Odogaron Fang,2,Hornetaur Shell,5,Hornetaur Wing,4,Hornetaur Head,2
Dark Ripper I,dual-blades,Create,Hornetaur Razorwing,2,Girros Shard,4,Monster Broth,3,Novacrystal,1
Dark Ripper I,dual-blades,Upgrade,Hornetaur Carapace,5,Hornetaur Innerwing,4,Monster Broth,2,Dragonvein Crystal,3
Dark Ripper II,dual-blades,Upgrade,Azure Rathalos Wing,2,Hornetaur Carapace,5,Hornetaur Innerwing,4,Novacrystal,1
Dark Ripper III,dual-blades,Upgrade,Vaal Hazak Fang+,3,Hornetaur Carapace,8,Hornetaur Innerwing,6,Wyvern Gem,1
Abyss Eaters I,dual-blades,Upgrade,Hornetaur Razorwing,2,Tough Claw,1,Monster Essence,2,Spiritvein Crystal,3
Abyss Eaters II,dual-blades,Upgrade,Odogaron Hardclaw,2,Hornetaur Razorwing,3,Monster Essence,3,Dragonbone Artifact,1
Brachydios Blasters I,dual-blades,Upgrade,Brachydios Crown,2,Brachydios Cortex,4,Glowing Slime,3,Meldspar Ore,3
Brachydios Blasters II,dual-blades,Upgrade,Azure Rathalos Fellwing,2,Brachydios Pounder+,3,Brachydios Lash,2,Glowing Slime,5
Pulsar Hatchets I,dual-blades,Upgrade,Tobi-Kadachi Claw,1,Tobi-Kadachi Scale,3,Tobi-Kadachi Pelt,2,,
Pulsar Hatchets II,dual-blades,Upgrade,Tobi-Kadachi Electrode,2,Tobi-Kadachi Claw,3,Electro Sac,2,Coral Crystal,3
Pulsar Hatchets III,dual-blades,Upgrade,Monster Bone+,2,Tobi-Kadachi Electrode,2,Tobi-Kadachi Membrane,2,Warped Bone,2
Kadachi Claws I,dual-blades,Upgrade,Tobi-Kadachi Claw+,3,Tobi-Kadachi Scale+,4,Tobi-Kadachi Pelt+,3,Dragonvein Crystal,3
Kadachi Claws II,dual-blades,Upgrade,Majestic Horn,2,Tobi-Kadachi Electrode+,2,Tobi-Kadachi Claw+,4,Thunder Sac,3
Kadachi Claws III,dual-blades,Upgrade,Nergigante Talon,2,Tobi-Kadachi Electrode+,4,Tobi-Kadachi Claw+,6,Wyvern Gem,1
Kadachi Greathawks I,dual-blades,Create,Tobi-Kadachi Hardclaw,2,Tobi-Kadachi Cathode,2,Tobi-Kadachi Shard,6,Large Wyvern Gem,1
Kadachi Greathawks I,dual-blades,Upgrade,Tobi-Kadachi Hardclaw,1,Tobi-Kadachi Shard,2,Tobi-Kadachi Thickfur,2,Lightning Sac,1
Kadachi Greathawks II,dual-blades,Upgrade,Hard Odogaron Sinew,2,Tobi-Kadachi Cathode,2,Tobi-Kadachi Hardclaw,2,Tobi-Kadachi Membrane+,2
Crimson Viperclaws I,dual-blades,Upgrade,Viper Tobi-Kadachi Hardclaw,1,Viper Tobi-Kadachi Shard,2,Viper Tobi-Kadachi Thickfur,2,Deadly Poison Sac,1
Crimson Viperclaws II,dual-blades,Upgrade,Acidic Glavenus Spineshell,2,Viper Tobi-Kadachi Thorn,2,Viper Tobi-Kadachi Hardclaw,2,Viper Tobi-Kadachi Membrane+,2
Garon Hatchets I,dual-blades,Upgrade,Odogaron Claw,2,Odogaron Scale,4,Odogaron Fang,2,,
Garon Hatchets II,dual-blades,Upgrade,Quality Bone,5,Odogaron Claw,2,Odogaron Tail,2,Odogaron Plate,1
Blood-drinker Chainblade,dual-blades,Create,Odogaron Shard,3,Dragonbone Artifact,1,Odogaron Scale+,8,Wyvern Gem,1
Blood-drinker Chainblade,dual-blades,Upgrade,Odogaron Claw+,4,Odogaron Scale+,8,Odogaron Fang+,3,Dragonbone Relic,1
Sin,dual-blades,Upgrade,Teostra Claw+,2,Odogaron Claw+,6,Odogaron Fang+,5,Odogaron Gem,1
Sin+,dual-blades,Upgrade,Odogaron Hardclaw,2,Odogaron Shard,3,Odogaron Hardfang,2,Monster Slogbone,3
Crime,dual-blades,Upgrade,Acidic Glavenus Tailedge,2,Odogaron Hardclaw,4,Odogaron Lash,2,Odogaron Mantle,1
Nether Chainblades,dual-blades,Upgrade,Ebony Odogaron Hardclaw,3,Ebony Odogaron Shard,5,Ebony Odogaron Hardfang,2,Dragonbone Artifact,1
Death Row,dual-blades,Upgrade,Namielle Hardclaw,2,Ebony Odogaron Hardclaw,4,Ebony Odogaron Lash,2,Ebony Odogaron Mantle,1
Dragonbone Twinblades I,dual-blades,Create,Warped Bone,5,Coral Bone,5,Boulder Bone,5,Ancient Bone,5
Dragonbone Twinblades II,dual-blades,Upgrade,Monster Bone+,6,Monster Bone L,8,Sturdy Bone,8,,
Enduring Schism,dual-blades,Upgrade,Elder Dragon Bone,10,Brutal Bone,4,Dragonbone Relic,2,Wyvern Gem,1
Enduring Sacrifice,dual-blades,Upgrade,Monster Solidbone,3,Monster Slogbone,4,Thick Bone,6,Dragonbone Artifact,1
Enduring Surrender,dual-blades,Upgrade,Large Elder Dragon Bone,6,Monster Solidbone,4,Lavasioth Grandfin,2,Large Wyvern Gem,1
Boundless Farsight,dual-blades,Upgrade,Shara Ishvalda Tenderclaw,4,Shara Ishvalda Tenderscale,6,Shara Ishvalda Tenderplate,2,Shara Ishvalda Gem,1
Kirin Bolts,dual-blades,Upgrade,Kirin Thunderhorn,3,Kirin Hide,3,Kirin Tail,1,Lightcrystal,1
Kirin Bolts+,dual-blades,Upgrade,Kirin Azure Horn,4,Kirin Hide+,5,Kirin Mane,4,Dragonvein Crystal,5
Monarch,dual-blades,Upgrade,Xeno'jiiva Shell,4,Kirin Azure Horn,6,Kirin Thundertail,3,Novacrystal,2
Wunderkirins,dual-blades,Upgrade,Kirin Azure Horn+,3,Kirin Finehide,4,Kirin Silvermane,3,Purecrystal,1
Magda Ungulae I,dual-blades,Upgrade,Zorah Magdaros Heat Scale,4,Zorah Magdaros Carapace,8,Zorah Magdaros Magma,4,Zorah Magdaros Gem,1
Magda Ungulae II,dual-blades,Upgrade,Xeno'jiiva Shell,4,Zorah Magdaros Ridge,2,Zorah Magdaros Pleura,2,Firecell Stone,3
Magdaros Volcancross,dual-blades,Upgrade,Elder Dragonvein Bone,3,Dragonvein Solidbone,5,Heavy Dragonvein Bone,6,Large Elder Dragon Gem,1
Blacksteel Twins I,dual-blades,Create,Dragonvein Crystal,10,Earth Crystal,10,Coral Crystal,10,Lightcrystal,1
Blacksteel Twins II,dual-blades,Upgrade,Firecell Stone,1,Fucium Ore,5,Carbalite Ore,10,Wyvern Gem,1
Twin Nails,dual-blades,Upgrade,Daora Claw+,2,Teostra Claw+,2,Firecell Stone,2,Wyvern Gem,1
Fire and Ice,dual-blades,Upgrade,Xeno'jiiva Claw,2,Teostra Horn+,3,Daora Horn+,3,Novacrystal,2
Blizzard and Blaze,dual-blades,Upgrade,Daora Hardclaw,3,Fire Dragon Hardclaw,3,Purecrystal,2,Large Elder Dragon Gem,1
