base_name_en,level,description_en,description_ja,description_fr,description_it,description_de,description_es,description_pt,description_pl,description_ru,description_ko,description_zh,description_ar
Free Elem/Ammo Up,2,Draws out 66% of hidden element and expands clip size for many ammo.,隠された属性の２／３を引き出す。 ／多くの弾の装填数が増加。,Révèle 66 % des éléments cachés et augmente la capacité du chargeur pour de nombreuses munitions.,Elemento nascosto: 66% Aumenta la capienza di molti tipi di munizioni.,Fördert zwei Drittel des verborgenen Elements und steigert die Magazingröße von einiger Munition.,Extrae el 66% del elemento oculto y amplía el tamaño del cargador para muchos tipos de munición.,Prolonga em 66% o elemento oculto e aumenta a capacidade para muitas munições.,Uwalnia 66% ukrytego żywiołu i powiększa magazynek dla wielu rodzajów amunicji.,Вытягивает 66% скрытой стихии и увеличивает обойму для многих зарядов.,숨은 속성의 2/3를 이끌어낸다. /여러 탄의 장전 수 증가.,激發出２／３的隱藏屬性。 ／增加多數彈藥裝填數。,تستخرج 66% من العناصر الخفية وتُوسّع حجم المُشط للكثير من الذخيرة.
Free Elem/Ammo Up,3,Draws out 100% of hidden element and expands clip size for most ammo.,隠された属性を１００％引き出す。 ／ほとんどの弾の装填数が増加。,Révèle 100 % des éléments cachés et augmente la capacité du chargeur pour la plupart des munitions.,Elemento nascosto: 100% Aumenta le munizioni di quasi tutti i tipi.,Fördert 100% des verborgenen Elements und steigert die Magazingröße der meisten Munition.,Extrae el 100% del elemento oculto y amplía el tamaño del cargador para la mayoría de munición.,Prolonga em 100% o elemento oculto e aumenta a capacidade para a maioria das munições.,Uwalnia 100% ukrytego żywiołu i powiększa magazynek dla większości rodzajów amunicji.,Вытягивает 100% скрытой стихии и увеличивает обойму для большинства зарядов.,숨은 속성을 100％ 이끌어낸다. /거의 모든 탄의 장전 수 증가.,激發出１００％的隱藏屬性。 ／幾乎增加所有彈藥裝填數。,تستخرج 100% من العناصر الخفية وتُوسّع حجم المُشط لمعظم الذخيرة.
Critical Eye,1,Affinity +5%,会心率＋５％,Affinité +5 %,Affinità: +5%,Affinität +5%,Afinidad +5%,Afinidade +5%,Zgodność +5%,Мастерство +5%,회심률+5%,會心率＋５％,النسبة +5%
Critical Eye,2,Affinity +10%,会心率＋１０％,Affinité +10 %,Affinità: +10%,Affinität +10%,Afinidad +10%,Afinidade +10%,Zgodność +10%,Мастерство +10%,회심률+10%,會心率＋１０％,النسبة +10%
Critical Eye,3,Affinity +15%,会心率＋１５％,Affinité +15 %,Affinità: +15%,Affinität +15%,Afinidad +15%,Afinidade +15%,Zgodność +15%,Мастерство +15%,회심률+15％,會心率＋１５％,النسبة +15%
Critical Eye,4,Affinity +20%,会心率＋２０％,Affinité +20 %,Affinità: +20%,Affinität +20%,Afinidad +20%,Afinidade +20%,Zgodność +20%,Мастерство +20%,회심률+20％,會心率＋２０％,النسبة +20%
Critical Eye,5,Affinity +25%,会心率＋２５％,Affinité +25 %,Affinità: +25%,Affinität +25%,Afinidad +25%,Afinidade +25%,Zgodność +25%,Мастерство +25%,회심률+25％,會心率＋２５％,النسبة +25%
Critical Eye,6,Affinity +30%,会心率＋３０％,Affinité +30 %,Affinità: +30%,Affinität +30%,Afinidad +30%,Afinidade +30%,Zgodność +30%,Мастерство +30%,회심률+30％,會心率＋３０％,النسبة +30%
Critical Eye,7,Affinity +40%,会心率＋４０％,Affinité +40 %,Affinità: +40%,Affinität +40%,Afinidad +40%,Afinidade +40%,Zgodność +40%,Мастерство +40%,회심률+40％,會心率＋４０％,النسبة +40%
Critical Boost,1,Increases damage dealt by critical hits to 30%.,会心攻撃時のダメージ倍率を １．３倍に強化する。,Augmente les dégâts des coups critiques à 130 %.,Danni inflitti: 130%,Erhöht den Schaden kritischer Treffer auf 130%.,Los ataques críticos hacen 30% más daño que un ataque normal.,Aumenta o dano causado por acertos críticos para 30%.,Zwiększa obrażenia zadawane przez trafienia krytyczne do 30%.,Увеличивает критический урон до 30%.,회심 공격 시의 데미지 배율을 1.3배로 강화한다.,會心攻擊時的傷害倍率 增強為１．３倍。,تزيد من الضرر الناجم عن الضربات الخطيرة إلى 30%.
Critical Boost,2,Increases damage dealt by critical hits to 35%.,会心攻撃時のダメージ倍率を １．３５倍に強化する。,Augmente les dégâts des coups critiques à 135 %.,Danni inflitti: 135%,Erhöht den Schaden kritischer Treffer auf 135%.,Los ataques críticos hacen 35% más daño que un ataque normal.,Aumenta o dano causado por acertos críticos para 35%.,Zwiększa obrażenia zadawane przez trafienia krytyczne do 35%.,Увеличивает критический урон до 35%.,회심 공격 시의 데미지 배율을 1.35배로 강화한다.,會心攻擊時的傷害倍率 增強為１．３５倍。,تزيد من الضرر الناجم عن الضربات الخطيرة إلى 35%.
Critical Boost,3,Increases damage dealt by critical hits to 40%.,会心攻撃時のダメージ倍率を １．４倍に強化する。,Augmente les dégâts des coups critiques à 140 %.,Danni inflitti: 140%,Erhöht den Schaden kritischer Treffer auf 140%.,Los ataques críticos hacen 40% más daño que un ataque normal.,Aumenta o dano causado por acertos críticos para 40%.,Zwiększa obrażenia zadawane przez trafienia krytyczne do 40%.,Увеличивает критический урон до 40%.,회심 공격 시의 데미지 배율을 1.4배로 강화한다.,會心攻擊時的傷害倍率 增強為１．４倍。,تزيد من الضرر الناجم عن الضربات الخطيرة إلى 40%.
Weakness Exploit,1,"Attacks that hit weak spots have 10% increased affinity, with an extra 5% on wounded parts.",有効部位への攻撃時、 会心率＋１０％ 傷がついていれば更に＋５％,Affinité +10 % Bonus parties blessées +5 %,Affinità: +10% Bonus parti ferite: +5%,"Erhöht die Affinität für Angriffe auf Schwachpunkte um 10%, plus weitere 5% auf verwundete Teile.","Los ataques en puntos débiles tienen afinidad +10%, más un 5% adicional sobre partes heridas.",Ataques que atingem pontos fracos têm mais 10% de afinidade e 5% extras em partes feridas.,"Trafienia w słaby punkt mają o 10% większą zgodność, dodatkowe 5% za ranne części.","Попадания в уязвимые точки повышают мастерство на 10% (еще +5%, если часть повреждена).","유효 부위 공격 시, 회심률＋10％ 상처가 난 경우＋5% 추가",攻擊有效部位時， 會心率＋１０％ 若有受傷再＋５％,تزيد الهجمات التي تصيب نقاط الضعف بنسبة 10% مع 5% إضافية للأجزاء المُصابة.
Weakness Exploit,2,"Attacks that hit weak spots have 15% increased affinity, with an extra 15% on wounded parts.",有効部位への攻撃時、 会心率＋１５％ 傷がついていれば更に＋１５％,Affinité +15 % Bonus parties blessées +15 %,Affinità: +15% Bonus parti ferite: +15%,"Erhöht die Affinität für Angriffe auf Schwachpunkte um 15%, plus weitere 15% auf verwundete Teile.","Los ataques en puntos débiles tienen afinidad +15%, más un 15% adicional sobre partes heridas.",Ataques que atingem pontos fracos têm mais 15% de afinidade e 15% extras em partes feridas.,"Trafienia w słaby punkt mają o 15% większą zgodność, dodatkowe 15% za ranne części.","Попадания в уязвимые точки повышают мастерство на 15% (еще +15%, если часть повреждена).","유효 부위 공격 시, 회심률＋15％ 상처가 난 경우＋15% 추가",攻擊有效部位時， 會心率＋１５％ 若有受傷再＋１５％,تزيد الهجمات التي تصيب نقاط الضعف بنسبة 15% مع 15% إضافية للأجزاء المُصابة.
Weakness Exploit,3,"Attacks that hit weak spots have 30% increased affinity, with an extra 20% on wounded parts.",有効部位への攻撃時、 会心率＋３０％ 傷がついていれば更に＋２０％,Affinité +30 % Bonus parties blessées +20 %,Affinità: +30% Bonus parti ferite: +20%,"Erhöht die Affinität für Angriffe auf Schwachpunkte um 30%, plus weitere 20% auf verwundete Teile.","Los ataques en puntos débiles tienen afinidad +30%, más un 20% adicional sobre partes heridas.",Ataques que atingem pontos fracos têm mais 30% de afinidade e 20% extras em partes feridas.,"Trafienia w słaby punkt mają o 30% większą zgodność, dodatkowe 20% za ranne części.","Попадания в уязвимые точки повышают мастерство на 30% (еще +20%, если часть повреждена).","유효 부위 공격 시, 회심률＋30％ 상처가 난 경우＋20% 추가",攻擊有效部位時， 會心率＋３０％ 若有受傷再＋２０％,تزيد الهجمات التي تصيب نقاط الضعف بنسبة 30% مع 20% إضافية للأجزاء المُصابة.
Focus,1,Increases gauge fill rate by 5% and reduces charge times by 5%.,ゲージ上昇率５％ＵＰ 溜め時間５％短縮,Remplissage jauge +5 % Temps de charge -5 %,Accumulo barra: +5% Riduzione carica: -5%,Erhöht das Balkenfülltempo um 5% und reduziert die Aufladezeiten um 5%.,Aumenta la carga del medidor un 5% y reduce el tiempo de ataques cargados un 5%.,Aumenta a taxa de enchimento da barra em 5% e reduz o tempo de carga em 5%.,Zwiększa szybkość wypełniania paska o 5% i zmniejsza czas ładowania o 5%.,Ускоряет заполнение шкалы на 5% и уменьшает время заряда на 5%.,게이지 상승률 5％ UP 모으기 시간 5％ 단축,計量表上升率５％UP， 蓄力時間縮短５％,تزيد مقياس معدّل الحشو بنسبة 5% وتقلّل مرات الشحن بنسبة 5%.
Focus,2,Increases gauge fill rate by 10% and reduces charge times by 10%.,ゲージ上昇率１０％ＵＰ 溜め時間１０％短縮,Remplissage jauge +10 % Temps de charge -10 %,Accumulo barra: +10% Riduzione carica: -10%,Erhöht das Balkenfülltempo um 10% und reduziert die Aufladezeiten um 10%.,Aumenta la carga del medidor un 10% y reduce el tiempo de ataques cargados un 10%.,Aumenta a taxa de enchimento da barra em 10% e reduz o tempo de carga em 10%.,Zwiększa szybkość wypełniania paska o 10% i zmniejsza czas ładowania o 10%.,Ускоряет заполнение шкалы на 10% и уменьшает время заряда на 10%.,게이지 상승률 10％ UP 모으기 시간 10％ 단축,計量表上升率１０％UP， 蓄力時間縮短１０％,تزيد مقياس معدّل الحشو بنسبة 10% وتقلّل مرات الشحن بنسبة 10%.
Focus,3,Increases gauge fill rate by 20% and reduces charge times by 15%.,ゲージ上昇率２０％ＵＰ 溜め時間１５％短縮,Remplissage jauge +20 % Temps de charge -15 %,Accumulo barra: +20% Riduzione carica: -15%,Erhöht das Balkenfülltempo um 20% und reduziert die Aufladezeiten um 15%.,Aumenta la carga del medidor un 20% y reduce el tiempo de ataques cargados un 15%.,Aumenta a taxa de enchimento da barra em 20% e reduz o tempo de carga em 15%.,Zwiększa szybkość wypełniania paska o 20% i zmniejsza czas ładowania o 15%.,Ускоряет заполнение шкалы на 20% и уменьшает время заряда на 15%.,게이지 상승률 20％ UP 모으기 시간 15％ 단축,計量表上升率２０％UP， 蓄力時間縮短１５％,تزيد مقياس معدّل الحشو بنسبة 20% وتقلّل مرات الشحن بنسبة 15%.
Power Prolonger,1,Slightly increases the duration weapons are powered up.,強化時間を少し延長。,Augmente légèrement la durée des améliorations pour les armes.,Durata potenziamenti migliorata leggermente.,Erhöht die Dauer von Waffenverstärkungen leicht.,Aumenta ligeramente la duración de las bonificaciones para armas.,Aumenta um pouco a duração dos estados energizados das armas.,Nieznacznie zwiększa czas działania wzmocnień broni.,Немн. увеличивает длительность усиления оружия.,강화 시간을 조금 연장.,稍微延長強化時間。,تزيد من مدة تفعيل الأسلحة بمقدار ضئيل.
Power Prolonger,2,Increases the duration weapons are powered up.,強化時間を延長。,Augmente la durée des améliorations pour les armes.,Durata potenziamenti migliorata.,Erhöht die Dauer von Waffenverstärkungen.,Aumenta la duración de las bonificaciones para armas.,Aumenta a duração dos estados energizados das armas.,Zwiększa czas działania wzmocnień broni.,Увеличивает длительность усиления оружия.,강화 시간을 연장.,延長強化時間。,تزيد من مدة تفعيل الأسلحة.
Power Prolonger,3,Greatly increases the duration weapons are powered up.,強化時間を大きく延長。,Augmente grandement la durée des améliorations pour les armes.,Durata potenziamenti migliorata notevolmente.,Erhöht die Dauer von Waffenverstärkungen stark.,Aumenta mucho la duración de las bonificaciones para armas.,Aumenta bastante a duração dos estados energizados das armas.,Znacznie zwiększa czas działania wzmocnień broni.,Знач. увеличивает длительность усиления оружия.,강화 시간을 크게 연장.,大幅延長強化時間。,تزيد من مدة تفعيل الأسلحة بمقدار كبير.
Handicraft,1,Weapon sharpness +10,武器の斬れ味＋１０,Tranchant +10,Acutezza arma: +10,Waffenschärfe +10,Afilado del arma +10,Afiação da arma +10,Ostrość broni +10,Острота оружия +10,무기의 예리도＋10,武器的銳利度＋１０,حدة السلاح +10
Handicraft,2,Weapon sharpness +20,武器の斬れ味＋２０,Tranchant +20,Acutezza arma: +20,Waffenschärfe +20,Afilado del arma +20,Afiação da arma +20,Ostrość broni +20,Острота оружия +20,무기의 예리도＋20,武器的銳利度＋２０,حدة السلاح +20
Handicraft,3,Weapon sharpness +30,武器の斬れ味＋３０,Tranchant +30,Acutezza arma: +30,Waffenschärfe +30,Afilado del arma +30,Afiação da arma +30,Ostrość broni +30,Острота оружия +30,무기의 예리도＋30,武器的銳利度＋３０,حدة السلاح +30
Handicraft,4,Weapon sharpness +40,武器の斬れ味＋４０,Tranchant +40,Acutezza arma: +40,Waffenschärfe +40,Afilado del arma +40,Afiação da arma +40,Ostrość broni +40,Острота оружия +40,무기의 예리도＋40,武器的銳利度＋４０,حدة السلاح +40
Handicraft,5,Weapon sharpness +50,武器の斬れ味＋５０,Tranchant +50,Acutezza arma: +50,Waffenschärfe +50,Afilado del arma +50,Afiação da arma +50,Ostrość broni +50,Острота оружия +50,무기의 예리도＋50,武器的銳利度＋５０,حدة السلاح +50
Critical Draw,1,Draw attack affinity +30%,武器出し攻撃の会心率＋３０％,Affinité +30 %,Affinità attacco rapido: +30%,Zug-Angriff-Affinität +30%,Afinidad del ataque tras desenfundar +30%,Afinidade ataque imediato +30%,Zgodność ataków z dobyciem +30%,Мастерство атаки из ножен +30%,무기 발도 공격의 회심률＋30％,武器拔刀攻擊的會心率＋３０％,نسبة هجوم السحب +30%
Critical Draw,2,Draw attack affinity +60%,武器出し攻撃の会心率＋６０％,Affinité +60 %,Affinità attacco rapido: +60%,Zug-Angriff-Affinität +60%,Afinidad del ataque tras desenfundar +60%,Afinidade ataque imediato +60%,Zgodność ataków z dobyciem +60%,Мастерство атаки из ножен +60%,무기 발도 공격의 회심률＋60％,武器拔刀攻擊的會心率＋６０％,نسبة هجوم السحب +60%
Critical Draw,3,Draw attack affinity +100%,武器出し攻撃の会心率＋１００％,Affinité +100 %,Affinità attacco rapido: +100%,Zug-Angriff-Affinität +100%,Afinidad del ataque tras desenfundar +100%,Afinidade ataque imediato +100%,Zgodność ataków z dobyciem +100%,Мастерство атаки из ножен +100%,무기 발도 공격의 회심률＋100％,武器拔刀攻擊的會心率＋１００％,نسبة هجوم السحب +100%
Partbreaker,1,Part damage +10%,部位に対する蓄積ダメージ１．１倍,Augmente les dégâts contre les parties destructibles de 10 %.,Danni parte : +10%,Teileschaden +10%,Bonus de daño +10%,Dano em partes +10%,Obrażenia części ciała +10%,Урон части тела +10%,부위에 대한 축적 데미지 1.1배,對部位的累積傷害１．１倍,ضرر جزئي +10%
Partbreaker,2,Part damage +20%,部位に対する蓄積ダメージ１．２倍,Augmente les dégâts contre les parties destructibles de 20 %.,Danni parte : +20%,Teileschaden +20%,Bonus de daño +20%,Dano em partes +20%,Obrażenia części ciała +20%,Урон части тела +20%,부위에 대한 축적 데미지 1.2배,對部位的累積傷害１．２倍,ضرر جزئي +20%
Partbreaker,3,Part damage +30%,部位に対する蓄積ダメージ１．３倍,Augmente les dégâts contre les parties destructibles de 30 %.,Danni parte : +30%,Teileschaden +30%,Bonus de daño +30%,Dano em partes +30%,Obrażenia części ciała +30%,Урон части тела +30%,부위에 대한 축적 데미지 1.3배,對部位的累積傷害１．３倍,ضرر جزئي +30%
Slugger,1,Stun power +20%,気絶威力１．２倍,Étourdissement +20 %,Potenza stordimento: +20%,Betäubung-Kraft +20%,Posibilidad de aturdir +20%,Poder de Atordoamento +20%,Moc ogłuszenia +20%,Сила оглушения +20%,기절 위력 1.2배,昏厥威力１．２倍,قوة الصعق +20%
Slugger,2,Stun power +30%,気絶威力１．３倍,Étourdissement +30 %,Potenza stordimento: +30%,Betäubung-Kraft +30%,Posibilidad de aturdir +30%,Poder de Atordoamento +30%,Moc ogłuszenia +30%,Сила оглушения +30%,기절 위력 1.3배,昏厥威力１．３倍,قوة الصعق +30%
Slugger,3,Stun power +40%,気絶威力１．４倍,Étourdissement +40 %,Potenza stordimento: +40%,Betäubung-Kraft +40%,Posibilidad de aturdir +40%,Poder de Atordoamento +40%,Moc ogłuszenia +40%,Сила оглушения +40%,기절 위력 1.4배,昏厥威力１．４倍,قوة الصعق +40%
Slugger,4,Stun power +50%,気絶威力１．５倍,Étourdissement +50 %,Potenza stordimento: +50%,Betäubung-Kraft +50%,Posibilidad de aturdir +50%,Poder de Atordoamento +50%,Moc ogłuszenia +50%,Сила оглушения +50%,기절 위력 1.5배,昏厥威力１．５倍,قوة الصعق +50%
Slugger,5,Stun power +60%,気絶威力１．６倍,Étourdissement +60 %,Potenza stordimento: +60%,Betäubung-Kraft +60%,Posibilidad de aturdir +60%,Poder de Atordoamento +60%,Moc ogłuszenia +60%,Сила оглушения +60%,기절 위력 1.6배,昏厥威力１．６倍,قوة الصعق +60%
Stamina Thief,1,Exhaust power +20%,減気威力１．２倍,Drain d'endurance +20 %,Potenza assorbimento resistenza: +20%,Ermüdung-Kraft +20%,Posibilidad de agotar +20%,Poder de Exaustão +20%,Moc wyczerpania +20%,Истощение +20%,기력 감소 위력 1.2배,減氣威力１．２倍,قوة الإرهاق +20%
Stamina Thief,2,Exhaust power +30%,減気威力１．３倍,Drain d'endurance +30 %,Potenza assorbimento resistenza: +30%,Ermüdung-Kraft +30%,Posibilidad de agotar +30%,Poder de Exaustão +30%,Moc wyczerpania +30%,Истощение +30%,기력 감소 위력 1.3배,減氣威力１．３倍,قوة الإرهاق +30%
Stamina Thief,3,Exhaust power +40%,減気威力１．４倍,Drain d'endurance +40 %,Potenza assorbimento resistenza: +40%,Ermüdung-Kraft +40%,Posibilidad de agotar +40%,Poder de Exaustão +40%,Moc wyczerpania +40%,Истощение +40%,기력 감소 위력 1.4배,減氣威力１．４倍,قوة الإرهاق +40%
Stamina Thief,4,Exhaust power +50%,減気威力１．５倍,Drain d'endurance +50 %,Potenza assorbimento resistenza: +50%,Ermüdung-Kraft +50%,Posibilidad de agotar +50%,Poder de Exaustão +50%,Moc wyczerpania +50%,Истощение +50%,기력 감소 위력 1.5배,減氣威力１．５倍,قوة الإرهاق +50%
Stamina Thief,5,Exhaust power +60%,減気威力１．６倍,Drain d'endurance +60 %,Potenza assorbimento resistenza: +60%,Ermüdung-Kraft +60%,Posibilidad de agotar +60%,Poder de Exaustão +60%,Moc wyczerpania +60%,Истощение +60%,기력 감소 위력 1.6배,減氣威力１．６倍,قوة الإرهاق +60%
Master Mounter,1,Makes it easier to mount monsters and down mounted monsters.,モンスターに乗りやすく、 乗り状態で成功しやすくなる。,Permet de monter et de renverser les monstres plus facilement.,Rende più semplice salire sui mostri e abbatterli.,"Erleichtert den Aufstieg auf Monster sowie das Niederschlagen von Monstern, auf denen du bist.",Es más sencillo montar monstruos y derribarlos mientras estás sobre ellos.,Facilita montar em monstros e derrubar monstros montados.,"Ułatwia wskakiwanie na potwory i wywracanie potworów, które udało ci się dosiąść.",Помогает оседлать чудовище и повалить его.,"몬스터에 탑승하기 쉬워지고, 탄 상태에서 성공하기 쉬워진다.",容易騎乘魔物， 更容易在騎乘狀態下成功。,تسهّل من امتطاء الوحوش والترجّل عن الوحوش.
Airborne,1,Jumping attack power +30%,ジャンプ攻撃の威力を１．３倍,Attaques sautées +30 %,Potenza attacco in salto: +30%,Sprungangriffskraft +30%,Ataque en salto +30%,Poder de ataque com salto +30%,Siła ataku z wyskoku +30%,Сила атаки в прыжке +30%,점프 공격의 위력 1.3배,跳躍攻擊的威力變為１．３倍,قوة هجوم القفز +30%
Latent Power,1,"While active, increases affinity by 10% and reduces stamina depletion by 30%.",スキル発動中、会心率＋１０％ スタミナ消費量３０％軽減,Affinité +10 % Perte d'endurance -30 %,Affinità: +10% Consumo resistenza: -30%,"Erhöht die Affinität um 10% und reduziert die Ausdauerabnahme um 30%, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 10% y reduce el gasto de resistencia un 30%.","Ativado, aumenta a afinidade em 10% e reduz o consumo de vigor em 30%.",Po aktywacji zwiększa zgodność o 10% i zmniejsza spadek wytrzymałości o 30%.,При активации на 10% увеличивает мастерство и снижает расход выносливости на 30%.,"스킬 발동 중, 회심률＋10％ 스태미나 소비량 30％ 감소",技能發動時，會心率＋１０％ 耐力消耗量減少３０％,أثناء التفعيل، تزيد من النسبة بمقدار 10% وتقلل استهلاك قوة التحمل بمقدار 30%.
Latent Power,2,"While active, increases affinity by 20% and reduces stamina depletion by 30%.",スキル発動中、会心率＋２０％ スタミナ消費量３０％軽減,Affinité +20 % Perte d'endurance -30 %,Affinità: +20% Consumo resistenza: -30%,"Erhöht die Affinität um 20% und reduziert die Ausdauerabnahme um 30%, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 20% y reduce el gasto de resistencia un 30%.","Ativado, aumenta a afinidade em 20% e reduz o consumo de vigor em 30%.",Po aktywacji zwiększa zgodność o 20% i zmniejsza spadek wytrzymałości o 30%.,При активации на 20% увеличивает мастерство и снижает расход выносливости на 30%.,"스킬 발동 중, 회심률＋20％ 스태미나 소비량 30％ 감소",技能發動時，會心率＋２０％ 耐力消耗量減少３０％,أثناء التفعيل، تزيد من النسبة بمقدار 20% وتقلل استهلاك قوة التحمل بمقدار 30%.
Latent Power,3,"While active, increases affinity by 30% and reduces stamina depletion by 50%.",スキル発動中、会心率＋３０％ スタミナ消費量５０％軽減,Affinité +30 % Perte d'endurance -50 %,Affinità: +30% Consumo resistenza: -50%,"Erhöht die Affinität um 30% und reduziert die Ausdauerabnahme um 50%, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 30% y reduce el gasto de resistencia un 50%.","Ativado, aumenta a afinidade em 30% e reduz o consumo de vigor em 50%.",Po aktywacji zwiększa zgodność o 30% i zmniejsza spadek wytrzymałości o 50%.,При активации на 30% увеличивает мастерство и снижает расход выносливости на 50%.,"스킬 발동 중, 회심률＋30％ 스태미나 소비량 50％ 감소",技能發動時，會心率＋３０％ 耐力消耗量減少５０％,أثناء التفعيل، تزيد من النسبة بمقدار 30% وتقلل استهلاك قوة التحمل بمقدار 50%.
Latent Power,4,"While active, increases affinity by 40% and reduces stamina depletion by 50%.",スキル発動中、会心率＋４０％ スタミナ消費量５０％軽減,Affinité +40 % Perte d'endurance -50 %,Affinità: +40% Consumo resistenza: -50%,"Erhöht die Affinität um 40% und reduziert die Ausdauerabnahme um 50%, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 40% y reduce el gasto de resistencia un 50%.","Ativado, aumenta a afinidade em 40% e reduz o consumo de vigor em 50%.",Po aktywacji zwiększa zgodność o 40% i zmniejsza spadek wytrzymałości o 50%.,При активации на 40% увеличивает мастерство и снижает расход выносливости на 50%.,"스킬 발동 중, 회심률＋40％ 스태미나 소비량 50％ 감소",技能發動時，會心率＋４０％ 耐力消耗量減少５０％,أثناء التفعيل، تزيد من النسبة بمقدار 40% وتقلل استهلاك قوة التحمل بمقدار 50%.
Latent Power,5,"While active, increases affinity by 50% and reduces stamina depletion by 50%.",スキル発動中、会心率＋５０％ スタミナ消費量５０％軽減,Affinité +50 % Perte d'endurance -50 %,Affinità: +50% Consumo resistenza: -50%,"Erhöht die Affinität um 50% und reduziert die Ausdauerabnahme um 50%, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 50% y reduce un 50% el gasto de resistencia.","Ativado, aumenta a afinidade em 50% e reduz o consumo de vigor em 50%.",Po aktywacji zwiększa zgodność o 50% i zmniejsza spadek wytrzymałości o 50%.,При активации на 50% увеличивает мастерство и снижает расход выносливости на 50%.,스킬 발동 중에 회심률＋50％ 스태미나 소비량 50％ 감소,技能發動時，會心率＋５０％ 耐力消耗量減少５０％,أثناء التفعيل، تزيد من النسبة بمقدار 50% وتقلل استهلاك قوة التحمل بمقدار 50%.
Latent Power,6,"While active, increases affinity by 50%, reduces stamina depletion by 50%. Triggers easier.",スキル発動中、会心率＋５０％ スタミナ消費量５０％軽減 効果が発動しやすくなる。,Affinité +50 % Perte d'endurance -50 % S'active plus facilement,Affinità: +50% Consumo resistenza: -50% L'abilità si attiva più facilmente.,"Erhöht die Affinität um 50% und reduziert die Ausdauerabnahme um 50%, wenn aktiviert. Leichter aktivierbar.","Si está activo, aumenta la afinidad un 50% y reduce un 50% el gasto de resistencia. Se activa más fácilmente.","Ativado, aumenta a afinidade em 50% e reduz o consumo de vigor em 50%. Ativa mais facilmente.",Po aktywacji zwiększa zgodność o 50% i zmniejsza spadek wytrz. o 50%. Łatwiejsza aktywacja.,+50% мастерства и -50% расхода выносливости при активации. Шанс повышен.,"스킬 발동 중, 회심률+50％ 스태미나 소비량 50％ 감소 효과가 발동되기 쉬워진다.",技能發動時，會心率＋５０％， 耐力消費量減輕５０％， 更容易發動效果。,أثناء التفعيل، تزيد من النسبة بمقدار 50% وتقلل استهلاك قوة التحمّل 50%. تُطلق بسهولة.
Latent Power,7,"While active, increases affinity by 60%, reduces stamina depletion by 50%. Triggers easier.",スキル発動中、会心率＋６０％ スタミナ消費量５０％軽減 効果が発動しやすくなる。,Affinité +60 % Perte d'endurance -50 % S'active plus facilement,Affinità: +60% Consumo resistenza: -50% L'abilità si attiva più facilmente.,"Erhöht die Affinität um 60% und reduziert die Ausdauerabnahme um 50%, wenn aktiviert. Leichter aktivierbar.","Si está activo, aumenta la afinidad un 60% y reduce un 50% el gasto de resistencia. Se activa más fácilmente.","Ativado, aumenta a afinidade em 60% e reduz o consumo de vigor em 50%. Ativa mais facilmente.",Po aktywacji zwiększa zgodność o 60% i zmniejsza spadek wytrz. o 50%. Łatwiejsza aktywacja.,+60% мастерства и -50% расхода выносливости при активации. Шанс повышен.,"스킬 발동 중, 회심률+60％ 스태미나 소비량 50％ 감소 효과가 발동되기 쉬워진다.",技能發動時，會心率＋６０％ 耐力消費量減輕５０％ 更容易發動效果。,أثناء التفعيل، تزيد من النسبة بمقدار 60% وتقلل استهلاك قوة التحمّل 50%. تُطلق بسهولة.
Agitator,1,"While active, grants attack +4 and increases affinity by 5%.",スキル発動中、基礎攻撃力＋４ 会心率＋５％,Attaque +4 Affinité +5 %,ATT Fisico: +4 Affinità: +5%,"Erhöht die Affinität um 5% und verbessert den Angriff um 4 Punkte, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 5% y el ataque +4.","Ativado, concede ataque +4 e aumenta a afinidade em 5%.",Po aktywacji przyznaje atak +4 i zwiększa zgodność o 5%.,"При активации: атака +4, мастерство +5%.","스킬 발동 중, 기초 공격력＋4 회심률＋5％",技能發動時，基礎攻擊力＋４ 會心率＋５％,أثناء التفعيل، تمنح الهجوم +4 وتزيد النسبة بمقدار 5%.
Agitator,2,"While active, grants attack +8 and increases affinity by 5%.",スキル発動中、基礎攻撃力＋８ 会心率＋５％,Attaque +8 Affinité +5 %,ATT Fisico: +8 Affinità: +5%,"Erhöht die Affinität um 5% und verbessert den Angriff um 8 Punkte, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 5% y el ataque +8.","Ativado, concede ataque +8 e aumenta a afinidade em 5%.",Po aktywacji przyznaje atak +8 i zwiększa zgodność o 5%.,"При активации: атака +8, мастерство +5%.","스킬 발동 중, 기초 공격력＋8 회심률＋5％",技能發動時，基礎攻擊力＋８ 會心率＋５％,أثناء التفعيل، تمنح الهجوم +8 وتزيد النسبة بمقدار 5%.
