name_en,description_en,name_ja,description_ja,name_fr,description_fr,name_it,description_it,name_de,description_de,name_es,description_es,name_pt,description_pt,name_pl,description_pl,name_ru,description_ru,name_ko,description_ko,name_zh,description_zh,name_ar,description_ar
Kulu-Ya-Ku Beak+,"Rare Kulu-Ya-Ku material. Obtained by breaking its head. Hard, used in many weapons.",掻鳥の大クチバシ,クルルヤックの上位素材。 頭部の部位破壊で入手しやすい。 堅い材質で、武器によく使われる。,Bec Kulu-Ya-Ku +,"Matériau Kulu-Ya-Ku rare. Solide, utilisé pour les armes. (Destruction de la tête)",Kulu-Ya-Ku: becco+,"Materiale raro di Kulu-Ya-Ku. Ottenuto rompendone la testa. Duro, usato in molte armi.",Kulu-Ya-Ku-Schnabel+,"Seltenes Kulu-Ya-Ku-Material, erhalten durch das Brechen seines Kopfs. Hart, für viele Waffen verwendet.",Pico de Kulu-Ya-Ku+,"Raro material de Kulu-Ya-Ku, obtenido al romperle el cráneo. Duro y útil para crear muchas armas.",Bico de Kulu-Ya-Ku+,"Material raro de Kulu-Ya-Ku. Obtido ao quebrar sua cabeça. Duro, usado em muitas armas.",Dziób Kulu-Ya-Ku+,"Rzadki materiał z Kulu-Ya-Ku. Uzyskiwany przez rozbicie mu głowy. Twardy, stosowany w broni.",Клюв кулу-йа-ку+,Редкое животное сырье. Источник: голова животного. Твердый материал для оружия.,소조의 부리+,쿠루루야크의 상위 소재. 머리 부위 파괴로 입수하기 쉽다. 재질이 단단하고 무기에 잘 사용된다.,搔鳥的大啄,搔鳥的進階素材。 容易經由破壞頭部部位獲得。 材質堅硬，常用於武器上。,منقار كولو-يا-كو+,من مواد كولو-يا-كو النادرة. يمكن الحصول عليه بكسر رأسه. صلب، ويُستخدم في أسلحة متعددة.
Pukei-Pukei Scale,Pukei-Pukei material. Mostly obtained by carving. Broadly used for many purposes.,毒妖鳥の鱗,プケプケの素材。 主に剥ぎ取りで入手できる。汎用性 が高く、幅広い用途に使われる。,Écaille Pukei-Pukei,Matériau Pukei-Pukei. Sert à de nombreux usages. (Dépeçage),Pukei-Pukei: scaglia,Materiale di Pukei-Pukei. Spesso ottenuto tramite il ricavo. Dall'ampio utilizzo.,Pukei-Pukei-Schuppe,"Pukei-Pukei-Material, meist durch Zerlegen erhalten; für eine Vielzahl von Dingen verwendet.",Escama de Pukei-Pukei,"Material de Pukei-Pukei, obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.",Escama de Pukei-Pukei,Material de Pukei-Pukei. Obtida principalmente ao talhar. Usada amplamente para muitos fins.,Łuska Pukei-Pukei,Rzadki materiał z Pukei-Pukei. Zdobywany głównie przez wycięcie. Ma bardzo wiele zastosowań.,Чешуя поки-поки,Животное сырье. Источник: разделка туш. Используется для разных целей.,독요조의 비늘,푸케푸케의 소재. 주로 갈무리로 입수할 수 있다. 범용성이 높아서 폭넓은 용도로 사용된다.,毒妖鳥的鱗,毒妖鳥的素材。 主要經由剝取獲得。 泛用性高、用途廣泛。,قشرة بوكي-بوكي,من مواد بوكي-بوكي. يتم الحصول عليها في الأغلب بالتقطيع. تُستخدم بصورة واسعة في أغراض متعددة.
Pukei-Pukei Shell,"Pukei-Pukei material. Mostly obtained as a reward. Solid, used to craft gear.",毒妖鳥の甲殻,プケプケの素材。 主に報酬で入手できる。 硬い材質で、防具によく使われる。,Carapace Pukei-Pukei,"Matériau Pukei-Pukei. Solide, utilisé pour les armures. (Récompense de quête)",Pukei-Pukei: corazza,"Materiale di Pukei-Pukei. Spesso ottenuto tramite le ricompense. Solido, usato nelle armature.",Pukei-Pukei-Panzer,"Pukei-Pukei-Material, meist als Belohnung erhalten. Stabil, für die Herstellung von Ausrüstung.",Caparazón de Pukei-Pukei,"Material de Pukei-Pukei, recibido sobre todo como recompensa. Sólido, útil para crear equipo.",Casco de Pukei-Pukei,"Material de Pukei-Pukei. Obtido principalmente como prêmio. Sólido, usado para criar equipamentos.",Skorupa Pukei-Pukei,"Materiał z Pukei-Pukei. Zdobywany głównie w nagrodę. Trwały, służy do wyrobu wyposażenia.",Шкура поки-поки,Животное сырье. Источник: награждение. Прочный материал для снаряжения.,독요조의 갑각,푸케푸케의 소재. 주로 보수로 입수할 수 있다. 재질이 단단하고 방어구에 주로 사용된다.,毒妖鳥的甲殼,毒妖鳥的素材。 主要經由報酬獲得。 材質堅硬，常用於防具上。,درع بوكي-بوكي,من مواد بوكي-بوكي. يمكن الحصول عليه في الأغلب كمكافأة. صلب، ويُستخدم في صناعة العتاد.
Pukei-Pukei Quill,Pukei-Pukei material. Obtained by breaking its wings. Used for many purposes.,毒妖鳥の羽根,プケプケの素材。 両翼の部位破壊で入手しやすい。 用途の幅広い、応用性のある材質。,Plume Pukei-Pukei,Matériau Pukei-Pukei. Sert à de nombreux usages. (Destruction d'ailes),Pukei-Pukei: penna,Materiale di Pukei-Pukei. Ottenuto rompendone le ali. Dai molteplici usi.,Pukei-Pukei-Feder,"Pukei-Pukei-Material, durch das Brechen der Flügel erhalten. Wird vielseitig verwendet.",Péndola de Pukei-Pukei,"Material de Pukei-Pukei, obtenido al romperle las alas. Tiene muchas propiedades.",Pena de Pukei-Pukei,Material de Pukei-Pukei. Obtido ao quebrar suas asas. Usado para muitos fins.,Pióro Pukei-Pukei,Materiał z Pukei-Pukei. Uzyskiwany przez połamanie jego skrzydeł. Ma wiele zastosowań.,Перья поки-поки,Животное сырье. Источник: крылья животного Используется для разных целей.,독요조의 우근,푸케푸케의 소재. 양날개의 부위 파괴로 입수하기 쉽다. 폭넓은 용도와 응용성을 갖춘 재질.,毒妖鳥的羽毛,毒妖鳥的素材。 容易經由破壞兩翼部位獲得。 是用途廣泛、應用性佳的材質。,ريش بوكي-بوكي,من مواد بوكي-بوكي. يمكن الحصول عليه بكسر جناحيه. يُستخدم في أغراض متعددة.
Pukei-Pukei Sac,Pukei-Pukei material. Obtained by breaking its head. Grants poisonous properties.,毒妖鳥の喉袋,プケプケの素材。 頭部の部位破壊で入手しやすい。 毒属性を付与する性質がある。,Poche Pukei-Pukei,Matériau Pukei-Pukei. Secrète un venin puissant. (Destruction de la tête),Pukei-Pukei: sacca,Materiale di Pukei-Pukei. Ottenuto rompendone la testa. Dona proprietà venefiche.,Pukei-Pukei-Beutel,"Pukei-Pukei-Material, erhalten durch das Brechen seines Kopfs. Verleiht Gift-Eigenschaften.",Bolsa de Pukei-Pukei,"Material de Pukei-Pukei, obtenido al romperle el cráneo. Añade propiedades venenosas.",Glândula de Pukei-Pukei,Material de Pukei-Pukei. Obtida ao quebrar sua cabeça. Concede atributos venenosos.,Worek Pukei-Pukei,Materiał z Pukei-Pukei. Uzyskiwany przez rozbicie mu głowy. Ma właściwości trujące.,Железа поки-поки,Животное сырье. Источник: голова животного Придает отравляющие свойства.,독요조의 후대,푸케푸케의 소재. 머리의 부위 파괴로 입수하기 쉽다. 독속성을 부여하는 성질이 있다.,毒妖鳥的喉袋,毒妖鳥的素材。 容易經由破壞頭部部位獲得。 擁有賦予毒屬性的性質。,كيس بوكي-بوكي,من مواد بوكي-بوكي. يمكن الحصول عليه بكسر رأسه. يمنح خصائص سامة.
Pukei-Pukei Tail,"Rare Pukei-Pukei material. Obtained by carving its severed tail. Unusual, used to craft gear.",毒妖鳥の尻尾,プケプケの素材。 切断した尻尾から入手しやすい。 特殊な材質で防具によく使われる。,Queue Pukei-Pukei,Matériau Pukei-Pukei. A une forme insolite. (Dépeçage de queue),Pukei-Pukei: coda,"Materiale raro di Pukei-Pukei. Ottenuto tramite il ricavo. Particolare, usato nelle armature.",Pukei-Pukei-Schwanz,"Seltenes Pukei-Pukei-Material, erhalten durch das Zerlegen des abgetrennten Schwanzes; ungewöhnlich.",Cola de Pukei-Pukei,"Raro material de Pukei-Pukei, obtenido cortando su cola cercenada. Raro, para equipo muy selecto.",Cauda de Pukei-Pukei,"Material raro de Pukei-Pukei. Obtida ao talhar sua cauda decepada. Incomum, usada em equipamentos.",Ogon Pukei-Pukei,"Rzadki materiał z Pukei-Pukei. Wycinany z oderwanego ogona. Niezwykły, do wyrobu wyposażenia.",Хвост поки-поки,Редкое животное сырье. Источник: хвост животного. Особый материал для снаряжения.,독요조의 꼬리,푸케푸케의 소재. 절단한 꼬리에서 입수하기 쉽다. 특수한 재질로 방어구에 잘 사용된다.,毒妖鳥的尾巴,毒妖鳥的素材。 容易經由切斷的尾巴獲得。 材質特殊，常用於防具上。,ذيل بوكي-بوكي,من مواد بوكي-بوكي النادرة. يمكن الحصول عليه بتقطيع ذيله المفصول غير معتاد، ويُستخدم في صناعة العتاد.
Pukei-Pukei Scale+,Rare Pukei-Pukei material. Mostly obtained by carving. Broadly used for many purposes.,毒妖鳥の上鱗,プケプケの上位素材。 主に剥ぎ取りで入手できる。汎用性 が高く、幅広い用途に使われる。,Écaille Pukei-Pukei +,Matériau Pukei-Pukei. Sert à de nombreux usages. (Dépeçage),Pukei-Pukei: scaglia+,Materiale raro di Pukei-Pukei. Spesso ottenuto tramite il ricavo. Dall'ampio utilizzo.,Pukei-Pukei-Schuppe+,"Seltenes Pukei-Pukei-Material, meist durch Zerlegen erhalten; für eine Vielzahl von Dingen verwendet.",Escama de Pukei-Pukei+,"Raro material de Pukei-Pukei. Obtenido cortando al monstruo tras abatirlo, de usos muy diversos.",Escama de Pukei-Pukei+,Material raro de Pukei-Pukei. Obtida principalmente ao talhar. Usada amplamente para muitos fins.,Łuska Pukei-Pukei+,Rzadki materiał z Pukei-Pukei. Zdobywany głównie przez wycięcie. Ma bardzo wiele zastosowań.,Чешуя поки-поки+,Редкое животное сырье. Источник: разделка туш. Используется для разных целей.,독요조의 비늘+,푸케푸케의 상위 소재. 주로 갈무리로 입수할 수 있다. 범용성이 높아서 폭넓은 용도로 사용된다.,毒妖鳥的上鱗,毒妖鳥的進階素材。 主要經由剝取獲得。 泛用性高、用途廣泛。,قشرة بوكي-بوكي+,من مواد بوكي-بوكي النادرة. يتم الحصول عليها في الأغلب بالتقطيع. تُستخدم بصورة واسعة في أغراض متعددة.
Pukei-Pukei Carapace,"Rare Pukei-Pukei material. Mostly obtained as a reward. Solid, used to craft gear.",毒妖鳥の堅殻,プケプケの上位素材。 主に報酬で入手できる。 硬い材質で、防具によく使われる。,Cuirasse Pukei-Pukei,"Matériau Pukei-Pukei. Solide, utilisé pour les armures. (Récompense de quête)",Pukei-Pukei: carapace,"Materiale raro di Pukei-Pukei. Spesso ottenuto tramite le ricompense. Solido, usato nelle armature.",Pukei-Pukei-Rückenpanzer,"Seltenes Pukei-Pukei-Material, meist als Belohnung erhalten. Stabil, für die Herstellung von Ausrüstung.",Coraza de Pukei-Pukei,"Raro material de Pukei-Pukei, obtenido sobre todo como recompensa, útil para crear equipo.",Carapaça de Pukei-Pukei,"Material raro de Pukei-Pukei. Obtida principalmente como prêmio. Sólida, usada para criar equipamentos.",Karapaks Pukei-Pukei,"Rzadki materiał z Pukei-Pukei. Zdobywany głównie w nagrodę. Trwały, służy do wyrobu wyposażenia.",Панцирь поки-поки,Редкое животное сырье. Источник: награждение. Прочный материал для снаряжения.,독요조의 견갑각,푸케푸케의 상위 소재. 주로 보수로 입수할 수 있다. 재질이 단단하고 방어구에 주로 사용된다.,毒妖鳥的堅殼,毒妖鳥的進階素材。 主要經由報酬獲得。 材質堅硬，常用於防具上。,درقة بوكي-بوكي,من مواد بوكي-بوكي النادرة. يتم الحصول عليها في الأغلب كمكافأة. صلبة، وتُستخدم في صناعة العتاد.
Pukei-Pukei Wing,Rare Pukei-Pukei material. Obtained by breaking its wings. Used for many purposes.,毒妖鳥の翼,プケプケの上位素材。 両翼の部位破壊で入手しやすい。 用途の幅広い、応用性のある材質。,Aile Pukei-Pukei,Matériau Pukei-Pukei. Sert à de nombreux usages. (Destruction d'ailes),Pukei-Pukei: ala,Materiale raro di Pukei-Pukei. Ottenuto rompendone le ali. Dai molteplici usi.,Pukei-Pukei-Flügel,"Seltenes Pukei-Pukei-Material, durch das Brechen der Flügel erhalten. Wird vielseitig verwendet.",Ala de Pukei-Pukei,"Raro material de Pukei-Pukei, obtenido al romperle las alas. Tiene muchas propiedades.",Asa de Pukei-Pukei,Material raro de Pukei-Pukei. Obtida ao quebrar suas asas. Usada para muitos fins.,Skrzydło Pukei-Pukei,Rzadki materiał z Pukei-Pukei. Uzyskiwany przez połamanie jego skrzydeł. Ma wiele zastosowań.,Крыло поки-поки,Редкое животное сырье. Источник: крылья животного Используется для разных целей.,독요조의 날개,푸케푸케의 상위 소재. 양날개의 부위 파괴로 입수하기 쉽다. 폭넓은 용도와 응용성을 갖춘 재질.,毒妖鳥之翼,毒妖鳥的進階素材。 容易經由破壞兩翼部位獲得。 是用途廣泛、應用性佳的材質。,جناح بوكي-بوكي,من مواد بوكي-بوكي النادرة. يمكن الحصول عليه بكسر جناحيه. يُستخدم في أغراض متعددة.
Pukei-Pukei Sac+,Rare Pukei-Pukei material. Obtained by breaking its head. Grants poisonous properties.,毒妖鳥の大喉袋,プケプケの上位素材。 頭部の部位破壊で入手しやすい。 毒属性を付与する性質がある。,Poche Pukei-Pukei +,Matériau Pukei-Pukei. Secrète un venin puissant. (Destruction de la tête),Pukei-Pukei: sacca+,Materiale raro di Pukei-Pukei. Ottenuto rompendone la testa. Dona proprietà venefiche.,Pukei-Pukei-Beutel+,"Seltenes Pukei-Pukei-Material, erhalten durch das Brechen seines Kopfs. Verleiht Gift-Eigenschaften.",Bolsa de Pukei-Pukei+,"Raro material de Pukei-Pukei, obtenido sobre todo al romperle el cráneo. Añade propiedades venenosas.",Glândula de Pukei-Pukei+,Material raro de Pukei-Pukei. Obtida ao quebrar sua cabeça. Concede atributos venenosos.,Worek Pukei-Pukei+,Rzadki materiał z Pukei-Pukei. Uzyskiwany przez rozbicie mu głowy. Ma właściwości trujące.,Железа поки-поки+,Редкое животное сырье. Источник: голова животного. Придает отравляющие свойства.,독요조의 후대+,푸케푸케의 상위 소재. 머리의 부위 파괴로 입수하기 쉽다. 독속성을 부여하는 성질이 있다.,毒妖鳥的大喉袋,毒妖鳥的進階素材。 容易經由破壞頭部部位獲得。 擁有賦予毒屬性的性質。,كيس بوكي-بوكي+,من مواد بوكي-بوكي النادرة. يمكن الحصول عليه بكسر رأسه. يميز بخصائص سامة.
Barroth Shell,Barroth material. Mostly obtained by carving. Broadly used for many purposes.,土砂竜の甲殻,ボルボロスの素材。 主に剥ぎ取りで入手できる。汎用性 が高く、幅広い用途に使われる。,Cuirasse Barroth,Matériau Barroth. Sert à de nombreux usages. (Dépeçage),Barroth: corazza,Materiale di Barroth. Spesso ottenuto tramite il ricavo. Dall'ampio utilizzo.,Barroth-Panzer,"Barroth-Material, meist durch Zerlegen erhalten; für eine Vielzahl von Dingen verwendet.",Caparazón de Barroth,"Material de Barroth, a menudo obtenido cortándolo tras abatirlo. Tiene muchas utilidades.",Casco de Barroth,Material de Barroth. Obtido principalmente ao talhar. Usado amplamente para muitos fins.,Skorupa Barrotha,Materiał z Barrotha. Zdobywany głównie przez wycięcie. Ma bardzo wiele zastosowań.,Шкура баррота,Животное сырье. Источник: разделка туш. Используется для разных целей.,토사룡의 갑각,볼보로스의 소재. 주로 갈무리로 입수할 수 있다. 범용성이 높아서 폭넓은 용도로 사용된다.,土砂龍的甲殼,土砂龍的素材。 主要經由剝取獲得。 泛用性高、用途廣泛。,صدفة باروث,من مواد باروث. يتم الحصول عليها في الأغلب بالتقطيع. تستخدم بصورة واسعة في أغراض متعددة.
Barroth Ridge,"Barroth material. Mostly obtained as a reward. Solid, used to craft gear.",土砂竜の背甲,ボルボロスの素材。 主に報酬で入手できる。 硬い材質で、防具によく使われる。,Vertèbre Barroth,"Matériau Barroth. Solide, utilisé pour les armures. (Récompense de quête)",Barroth: cresta,"Materiale di Barroth. Spesso ottenuto tramite le ricompense. Solido, usato nelle armature.",Barroth-Rückgrat,"Barroth-Material, meist als Belohnung erhalten. Stabil, für die Herstellung von Ausrüstung.",Cresta de Barroth,"Material de Barroth, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.",Anca de Barroth,"Material de Barroth. Obtida principalmente como prêmio. Sólida, usada para criar equipamentos.",Grzbiet Barrotha,"Materiał z Barrotha. Zdobywany głównie w nagrodę. Trwały, służy do wyrobu wyposażenia.",Хребет баррота,Животное сырье. Источник: награждение. Прочный материал для снаряжения.,토사룡의 배갑,볼보로스의 소재. 주로 보수로 입수할 수 있다. 재질이 단단하고 방어구에 주로 사용된다.,土砂龍的背甲,土砂龍的素材。 主要經由報酬獲得。 材質堅硬，常用於防具上。,نتوء باروث,من مواد باروث. يتم الحصول عليه في الأغلب كمكافأة. صلب، ويُستخدم في صناعة العتاد.
Barroth Claw,"Barroth material. Obtained by breaking its forelimbs. Hardy, used in many weapons.",土砂竜の爪,ボルボロスの素材。 両前脚の部位破壊で入手しやすい。 丈夫な材質で武器によく使われる。,Griffe Barroth,"Matériau Barroth. Résistant, utilisé pour les armes. (Destruction des membres antérieurs)",Barroth: artiglio,"Materiale di Barroth. Ottenuto rompendone le zampe anteriori. Compatto, usato in molte armi.",Barroth-Klaue,"Barroth-Material, erhalten durch das Brechen seiner Vorderbeine. Hart, für die Herstellung von Waffen.",Garra de Barroth,"Material de Barroth, obtenido sobre todo al romperle las patas delanteras. Robusto, parte de muchas armas.",Garra de Barroth,"Material de Barroth. Obtida ao quebrar seus membros dianteiros. Robusta, usada em muitas armas.",Pazur Barrotha,"Materiał z Barrotha. Zdobywany przez połamanie przednich nóg. Twardy, stosowany w broni.",Коготь баррота,Животное сырье. Источник: передние лапы. Твердый материал для снаряжения.,토사룡의 발톱,볼보로스의 소재. 양쪽 앞다리 부위 파괴로 입수하기 쉽다. 재질이 튼튼해서 무기에 잘 사용된다.,土砂龍的爪,土砂龍的素材。 容易經由破壞兩隻前腳部位獲得。 材質堅實，常用於武器上。,مخلب باروث,من مواد باروث. يمكن الحصول عليه بكسر طرفيه الأماميين. قوي، ويُستخدم في أسلحة متعددة.
Barroth Scalp,"Barroth material. Obtained by breaking its scalp. Tough, used in many weapons.",土砂竜の頭殻,ボルボロスの素材。 破壊した頭殻から入手しやすい。 頑丈な材質で武器によく使われる。,Scalp Barroth,"Matériau Barroth. Très résistant, utilisé pour les armes. (Destruction de la tête)",Barroth: scalpo,"Materiale di Barroth. Ottenuto rompendone lo scalpo. Resistente, usato in molte armi.",Barroth-Skalp,"Barroth-Material, erhalten durch das Brechen seines Kopfs. Robust, für die Waffenherstellung.",Cuero cabelludo de Barroth,"Material de Barroth, a menudo obtenido rompiéndole el cráneo. Muy tenaz, útil para crear armas.",Escalpo de Barroth,"Material de Barroth. Obtido ao quebrar seu escalpo. Resistente, usado em muitas armas.",Skalp Barrotha,"Materiał z Barrotha. Zdobywany przez rozbicie mu głowy. Mocny, często stosowany w broni.",Скальп баррота,Животное сырье. Источник: скальп животного. Твердый материал для оружия.,토사룡의 두갑각,볼보로스의 소재. 파괴한 머리 껍질에서 입수하기 쉽다. 재질이 튼튼해서 무기에 잘 사용된다.,土砂龍的頭殼,土砂龍的素材。 容易經由破壞的頭殼獲得。 材質硬實，常用於武器上。,فروة رأس باروث,من مواد باروث. يتم الحصول عليها بتحطيم فروة رأسه. قوية وتستخدم في أسلحة متعددة.
Barroth Tail,"Barroth material. Obtained by carving its severed tail. Stiff, used to craft gear.",土砂竜の尻尾,ボルボロスの素材。 切断した尻尾から入手しやすい。 強靱な材質で防具によく使われる。,Queue Barroth,"Matériau Barroth. Très durable, utilisé pour les armures. (Dépeçage de queue)",Barroth: coda,"Materiale di Barroth. Ottenuto tramite il ricavo. Rigido, usato nelle armature.",Barroth-Schwanz,"Barroth-Material, erhalten durch das Zerlegen des abgetrennten Schwanzes; für stabile Ausrüstung.",Cola de Barroth,"Material de Barroth, obtenido cortando su cola cercenada. Rígido y útil para crear equipo.",Cauda de Barroth,"Material de Barroth. Obtida ao talhar sua cauda decepada. Dura, usada para criar equipamentos.",Ogon Barrotha,"Materiał z Barrotha. Wycinany z oderwanego ogona. Sztywny, służy do wyrobu wyposażenia.",Хвост баррота,Животное сырье. Источник: хвост животного. Жесткий материал для снаряжения.,토사룡의 꼬리,볼보로스의 소재. 절단한 꼬리에서 입수하기 쉽다. 강인한 재질로 방어구에 잘 사용된다.,土砂龍的尾巴,土砂龍的素材。 容易經由切斷的尾巴獲得。 材質強韌，常用於防具上。,ذيل باروث,من مواد باروث. يمكن الحصول عليه بتقطيع ذيله المفصول. جامد، ويُستخدم في صناعة العتاد.
Fertile Mud,"Barroth material. Obtained by breaking its mud covering. Unusual, used in select gear.",肥沃なドロ,ボルボロスの素材。 泥の破壊で入手しやすい。特殊な 材質で、限られた装備に使われる。,Boue fertile,Matériau Barroth. Obtenu en brisant la gangue de boue qui le recouvre. Difficile à forger.,Fango fertile,"Materiale di Barroth, ottenuto rompendone la corazza di fango. Inusuale e dagli impieghi limitati.",Fruchtbarer Schlamm,"Barroth-Material, das unter dessen Schlammhülle sitzt. Selten. Für ausgewählte Ausrüstung verwendet.",Barro fértil,"Material de Barroth obtenido tras retirar el lodo que lo recubre. Poco común, para equipo de calidad.",Lama Fértil,"Material de Barroth. Obtida ao quebrar sua casca de lama. Incomum, usada em equipamentos seletos.",Żyzne błoto,"Materiał z Barrotha. Zdobywany przez rozbicie błotnej pokrywy. Niezwykły, spotykany w wybranych przedmiotach.",Плодородная грязь,"Животное сырье. Можно получить, разбив покрывающую его грязь, используется в особом снаряжении.",비옥한 진흙,볼보로스의 소재. 진흙의 파괴로 입수하기 쉽다. 재질이 특수하여 한정된 장비에 사용된다.,肥沃的泥,土砂龍的素材。 容易經由破壞泥獲得。 材質特殊，只能用於限定的裝備。,الطين الخصب,من مواد باروث. يمكن الحصول عليه بكسر غطائه الطيني. غير معتاد، ويُستخدم في عتاد محدد.
Barroth Carapace,Rare Barroth material. Mostly obtained by carving. Broadly used for many purposes.,土砂竜の堅殻,ボルボロスの上位素材。 主に剥ぎ取りで入手できる。汎用性 が高く、幅広い用途に使われる。,Carapace Barroth,Matériau Barroth rare. Sert à de nombreux usages. (Dépeçage),Barroth: carapace,Materiale raro di Barroth. Spesso ottenuto tramite il ricavo. Dall'ampio utilizzo.,Barroth-Rückenpanzer,"Seltenes Barroth-Material, meist durch Zerlegen erhalten; für eine Vielzahl von Dingen verwendet.",Coraza de Barroth,Raro material de Barroth. Obtenido sobre todo cortándolo tras abatirlo. Tiene usos muy diversos.,Carapaça de Barroth,Material raro de Barroth. Obtida principalmente ao talhar. Usada amplamente para muitos fins.,Karapaks Barrotha,Rzadki materiał z Barrotha. Zdobywany głównie przez wycięcie. Ma bardzo wiele zastosowań.,Панцирь баррота,Редкое животное сырье. Источник: разделка туш. Используется для разных целей.,토사룡의 견갑각,볼보로스의 상위 소재. 주로 갈무리로 입수할 수 있다. 범용성이 높아서 폭넓은 용도로 사용된다.,土砂龍的堅殼,土砂龍的進階素材。 主要經由剝取獲得。 泛用性高、用途廣泛。,درقة باروث,من مواد باروث النادرة. يتم الحصول عليها في الأغلب بالتقطيع. تُستخدم بصورة واسعة في أغراض متعددة.
Barroth Ridge+,"Rare Barroth material. Mostly obtained as a reward. Solid, used to craft gear.",土砂竜の堅甲,ボルボロスの上位素材。 主に報酬で入手できる。 硬い材質で、防具によく使われる。,Thorax Barroth,"Matériau Barroth rare. Solide, utilisé pour les armures. (Récompense de quête)",Barroth: cresta+,"Materiale raro di Barroth. Spesso ottenuto tramite le ricompense. Solido, usato nelle armature.",Barroth-Thorax,"Seltenes Barroth-Material, meist als Belohnung erhalten. Stabil, für die Herstellung von Ausrüstung.",Cresta de Barroth+,"Raro material de Barroth, obtenido sobre todo como recompensa. Sólido, útil para crear equipo.",Anca de Barroth+,"Material raro de Barroth. Obtida principalmente como prêmio. Sólida, usada para criar equipamentos.",Grzbiet Barrotha+,"Rzadki materiał z Barrotha. Zdobywany głównie w nagrodę. Trwały, służy do wyrobu wyposażenia.",Хребет баррота+,Редкое животное сырье. Источник: награждение. Прочный материал для снаряжения.,토사룡의 견갑,볼보로스의 상위 소재. 주로 보수로 입수할 수 있다. 재질이 단단하고 방어구에 주로 사용된다.,土砂龍的堅甲,土砂龍的進階素材。 主要經由報酬獲得。 材質堅硬，常用於防具上。,نتوء باروث+,من مواد باروث النادرة. يتم الحصول عليه في الأغلب كمكافأة. صلب، ويُستخدم في صناعة العتاد.
Barroth Claw+,"Rare Barroth material. Obtained by breaking its forelimbs. Hardy, used in many weapons.",土砂竜の鋭爪,ボルボロスの上位素材。 両前脚の部位破壊で入手しやすい。 丈夫な材質で武器によく使われる。,Griffe Barroth +,"Matériau Barroth rare. Résistant, utilisé pour les armes. (Destruction des membres antérieurs)",Barroth: artiglio+,"Materiale raro di Barroth. Ottenuto rompendone le zampe anteriori. Compatto, usato in molte armi.",Barroth-Klaue+,"Seltenes Barroth-Material, erhalten durch das Brechen seiner Vorderbeine. Hart, für Waffen.",Garra de Barroth+,"Raro material de Barroth, obtenido al romperle las patas delanteras. Robusto, parte de muchas armas.",Garra de Barroth+,"Material raro de Barroth. Obtida ao quebrar seus membros dianteiros. Robusta, usada em muitas armas.",Pazur Barrotha+,"Rzadki materiał z Barrotha. Zdobywany przez połamanie przednich nóg. Twardy, stosowany w broni.",Коготь баррота+,Редкое животное сырье. Источник: передние лапы. Твердый материал для снаряжения.,토사룡의 발톱+,볼보로스의 상위 소재. 양쪽 앞다리 부위 파괴로 입수하기 쉽다. 재질이 튼튼해서 무기에 잘 사용된다.,土砂龍的銳爪,土砂龍的進階素材。 容易經由破壞兩隻前腳部位獲得。 材質堅實，常用於武器上。,مخلب باروث+,من مواد باروث النادرة. يمكن الحصول عليه بكسر طرفيه الأماميين. قوي، ويُستخدم في أسلحة متعددة.
Jyuratodus Scale,Jyuratodus material. Mostly obtained by carving. Used for many purposes.,泥魚竜の鱗,ジュラトドスの素材。 主に剥ぎ取りで入手できる。 用途の幅広い、汎用的な材質。,Écaille Jyuratodus,Matériau Jyuratodus. Sert à de nombreux usages. (Dépeçage),Jyuratodus: scaglia,Materiale di Jyuratodus. Spesso ottenuto tramite il ricavo. Dai molteplici usi.,Jyuratodus-Schuppe,"Jyuratodus-Material, meist durch Zerlegen erhalten; für eine Vielzahl von Dingen verwendet.",Escama de Jyuratodus,"Material de Jyuratodus, obtenido sobre todo cortándolo tras abatirlo. Tiene muchas propiedades.",Escama de Jyuratodus,Material de Jyuratodus. Obtida principalmente ao talhar. Usada para muitos fins.,Łuska Jyuratodusa,Materiał z Jyuratodusa. Zdobywany głównie przez wycięcie. Ma wiele zastosowań.,Чешуя юратода,Животное сырье. Источник: разделка туш. Используется для разных целей.,이어룡의 비늘,쥬라토도스의 소재. 주로 갈무리로 입수할 수 있다. 폭넓은 용도와 범용성을 지닌 재질.,泥魚龍的鱗,泥魚龍的素材。 主要經由剝取獲得。 是用途廣泛、泛用性佳的材質。,قشرة جيوراتودوس,من مواد جيوراتودوس. يتم الحصول عليها في الأغلب بالتقطيع. تُستخدم في أغراض متعددة.
